id,latitude,longitude,municipality,name,town,website_link
175,46.44888889,15.09305556,Slovenj Gradec,Grad Vodriž,Vodriž,https://sl.wikipedia.org/wiki/Grad_Vodri%C5%BE
176,46.32111111,14.95111111,Nazarje,Grad Vrbovec,Nazarje,https://sl.wikipedia.org/wiki/Grad_Vrbovec
177,46.48694444,15.79611111,Duplek,Grad Vurberk,Vurberk,https://sl.wikipedia.org/wiki/Grad_Vurberk
178,46.6015,15.17132222,Vuzenica,Grad Vuzenica,Vuzenica,https://sl.wikipedia.org/wiki/Grad_Vuzenica
179,46.29611111,15.52694444,Slovenske Konjice,Grad Zbelovo,Zbelovska Gora,https://sl.wikipedia.org/wiki/Grad_Zbelovo
180,46.15111111,15.505,Šentjur,Grad Žamerk,Loka pri Žusmu,https://sl.wikipedia.org/wiki/Grad_%C5%BDamerk
181,46.22611111,15.10694444,Prebold,Grad Žaženberk,Sveti Lovrenc,https://sl.wikipedia.org/wiki/Grad_%C5%BDa%C5%BEenberk
182,46.06440556,15.15147222,Radeče,Grad Žebnik,Žebnik,https://sl.wikipedia.org/wiki/Grad_%C5%BDebnik
183,46.27611111,15.005,Braslovče,Grad Žovnek,Podvrh,https://sl.wikipedia.org/wiki/Grad_%C5%BDovnek
184,46.16017778,15.48691389,Šmarje pri Jelšah,Grad Žusem,Babna Gora,https://sl.wikipedia.org/wiki/Grad_%C5%BDusem
185,45.83,14.92888889,Žužemberk,Grad Žužemberk,Žužemberk,https://sl.wikipedia.org/wiki/Grad_%C5%BDu%C5%BEemberk
